Tweets,nbr_retweet,nbr_favorite,datetime,nbr_reply,is_reply,is_retweet,user_id
بمناسبة الحجرالمنزلي قاعدبالبيت ثريد افلام وثائقية ممتازة جدا و ثانك مي ليتر لايك عشان ترجع بعدين والي عنده فيلم ينصح يحطه تحت,0,0,3/21/2020 10:41,0,FALSE,FALSE,9.43376E+17
الحجرالمنزلي نستحلفكم بالله البقاء منازلكم,0,0,3/21/2020 10:40,0,FALSE,FALSE,395852675
مقدرين جهودك العظيمة الحجرالمنزلي ملتزمين بالحجر لسلامتنا ولسلامة الجميع وحباً للوطن تكفوناقعدوافيبيوتكم كاروناالسعودية,0,0,3/21/2020 10:39,0,FALSE,FALSE,361346729
الحجرالمنزلي,0,0,3/21/2020 10:39,0,FALSE,FALSE,2520320971
ربنا آتنا الدنيا حسنة وفي الآخرة حسنة وقِنا عذاب النار الحجرالمنزلي فعالياتالحجرالمنزلي,1,0,3/21/2020 10:38,0,FALSE,FALSE,474356250
خليكبالبيت الحجرالمنزلي,0,0,3/21/2020 10:38,0,FALSE,FALSE,9.44889E+17
الحجرالمنزلي كورونا ياناس والله العظيم انا قالوا ڤايروس معد طلعت البيت نهائياً وأمس طلعت باخذ غرض والله انه ضروري وبالسيارة مانزلت اني انصدمت هالناس حظر تجول ويالله يفيد مجمع حطين اللي ستار بكس ودانكن واقف الزحمة واستعراض دبابات وجلسات خارجية وتجمعات,0,0,3/21/2020 10:38,0,FALSE,FALSE,1.04412E+18
كروناالسعودية رجب الحجرالمنزلي,0,0,3/21/2020 10:37,0,TRUE,FALSE,235289747
اللهم احفظ السعودية بحفظك وادفع عنها البلاء والوباء فإنك القادر سبحانك وجميع بلاد المسلمين يارب الحجرالمنزلي,0,0,3/21/2020 10:36,0,FALSE,FALSE,1.17517E+18
الحجرالمنزلي,0,0,3/21/2020 10:35,0,FALSE,FALSE,1024992164
علشان تعرف أهمية وفائدة جلوسك بيتك خلال الأزمة تابع المقطع انامعحظرالتجولالاجباري اقعدوافيبيوتكم الحجرالمنزلي كلنامسؤول الزمبيتك كورونا,0,0,3/21/2020 10:35,0,FALSE,FALSE,488781204
التغريدة كتبتها قبل شهرين الآن كانت تتكلم ووهان اول مدينة انتشر الفايروس اليوم الصين لليوم الثالث التوالي تسجل اي حالة امر الله شوفوا كان التزامهم وكيف فضت المدينة السكان الزمبيتك كورونا الحجرالمنزلي اعلانحربضدكورونا,0,0,3/21/2020 10:33,0,FALSE,FALSE,3250609508
عمانتحتاجافكاركم الدين والأخلاق والانسانية عدم الخروج المنزل للضرورة خرجت للضرورة فيجب تتبع الإجراءات الصحية تكفوناقعدوافيبيوتكم فعالياتالحجرالصحي الحجرالمنزلي اخدودالرحمه مجدعُمانللدعم,3,13,3/21/2020 10:33,0,FALSE,FALSE,3177111217
لتنشئ طفلاً سعيداً تسلط الضوء أخطائه وإخفاقاته حاورهوتجنب نقده ومقارنته أقرانه السعودية الحجرالمنزلي التربويون,0,0,3/21/2020 10:33,0,FALSE,FALSE,274404774
كروناالسودان الحجرالمنزلي,0,0,3/21/2020 10:32,0,FALSE,FALSE,298580707
اللهم احفظنا بحفظك وبعينك تنام الحجرالمنزلي,0,0,3/21/2020 10:32,0,FALSE,FALSE,1.17517E+18
الإمام الصادق السلام يقول جهلة شيعتنا اضر علينا اعدائنا لهذا تونس يلعفطية الي رايحين زيارة جهلة الحجرالصحي الحجرالمنزلي حظرالتجول,0,1,3/21/2020 10:30,0,FALSE,FALSE,1.21326E+18
استمرار الجلوس المنزل واستخدامنا للجوال بشكل كبير سواءً كان للتعلم بُعْدٍ للتسلية ينبغي علينا الاعتدال الاستخدام وخفض الإضاءة قدر الإمكان وأخذ الوضعية الصحيحة وذلك لتجنب أضرار الجوال وخصوصًا صغار السّندمتم بخير الحجرالمنزلي تكفوناقعدوافيبيوتكم,0,0,3/21/2020 10:30,0,FALSE,FALSE,9.73433E+17
ملتزمين بالبقاء منزلنا حفاظا صحة والدتي ڤايروس ممكن ينتقل إليها و يؤذيها عنك الدافع الأساسي بقائك منزلك الحجرالمنزلي كورونا,3,16,3/21/2020 10:29,17,FALSE,FALSE,427479007
مجموعة صابون الفحم الحجرالمنزلي,0,0,3/21/2020 10:28,0,FALSE,FALSE,1.22663E+18
نوع الارهاب لنشر الوباء الناس يجب السلطة حجز يتعرض لحمابة الناس وباء وحكم عليهم بسجن بتهمة ارهاب وقضاء الناس حظرتجولاجباريينقذنا الحجرالمنزلي خليكفيالبيت حالةالطوارئ,0,0,3/21/2020 10:27,0,TRUE,FALSE,1.21516E+18
طريقة غسل اليدين كورونا الحجرالمنزلي,0,0,3/21/2020 10:26,0,FALSE,FALSE,1.22663E+18
السلام عليكم معالي الوزير مراكز العلاج الطبيعي والوخز بالابر الصينية تغلق ابوابها ويعلم معاليكم انها ممكن تنشر الوباء مثلها مثل المراكز الرياضية واماكن المساج الحجرالمنزلي,0,0,3/21/2020 10:24,0,FALSE,FALSE,454603129
ابناء المملكةالعربيةالسعودية كلهم ابطال كلٌ مجاله واختصاصه والتاريخ يشهد والمواقف الحالية والمستقبلية تُثبت والان هوا زمن ابطال وزارة الصحة بقيادة معالي الوزير وفقهم الله وسدد خطاهم الحجرالمنزلي كلنامسؤول,0,0,3/21/2020 10:24,0,FALSE,FALSE,449045210
لايلتزم بحضر الافضل وضعه قفص يموت فهو حريص ارواح الناس نفسه يرجا اخذ الموضوع بجدية نتخلص عقول حجرية لاتتعلم الثقافة والوعي الصحي الحجرالمنزلي حظرتجولاجباريينقذنا تكفوناقعدوافيبيوتكم,0,0,3/21/2020 10:23,0,TRUE,FALSE,1.21516E+18
الحجرالمنزلي وش النوم صار ملل,0,1,3/21/2020 10:22,0,FALSE,FALSE,3130270974
فوق الحجرالمنزلي تطفى الكهرب ي حبيبي,0,0,3/21/2020 10:19,0,FALSE,FALSE,1.23825E+18
الحجرالمنزليواجبوإلتزام الحجرالمنزلي تكفوناقعدوافيبيوتكم,1,0,3/21/2020 10:19,0,FALSE,FALSE,7.67121E+17
كتبت لأخوي بدافع العاطفة أدري تحوّل لمقلب كله بسبب الحجرالمنزلي,0,0,3/21/2020 10:16,0,FALSE,FALSE,3364632552
الحجرالمنزلي وقفات قصص القرآن الكريم منقول,0,0,3/21/2020 10:15,0,FALSE,FALSE,2832673118
الحجرالمنزلي اجل الوطن تكفوناقعدوافيبيوتكم,0,1,3/21/2020 10:15,0,FALSE,FALSE,184173945
فضلك ادعمني واكسب الخير فيني كود خصم نون كودخصمنون كورنا الحرم الامارات السعودية الحجرالمنزلي البيت الصحة,0,0,3/21/2020 10:15,0,FALSE,FALSE,1.22916E+18
دول الى الان تعلن حالات الوفاة وهي لمخالطين يغادروا البلد المقيمين وفي مستشفيات حكومية ربما اعلان الوفيات يساهم ضبط الناس المستهترة لذالك يجب مواطنين البلد الاحتراز المستشفيات بالذات كوروناالجديد كوروناالمستجد كوفيد الحجرالمنزلي,0,0,3/21/2020 10:14,0,FALSE,FALSE,1051251386
فعاليات الحجرالمنزلي,0,0,3/21/2020 10:14,0,FALSE,FALSE,1.09818E+18
يتغير سلوك عائلة بمجرد إصابة أحد أفرادها ب كورونا سمح الله التقيد بالتعليمات أسلم اعقلهاوتوكل الحجرالمنزلي,2,1,3/21/2020 10:14,0,FALSE,FALSE,125782317
ريحت نفسي واشتريت أجهزة أون لاين موسيقى وقهوة وجو آمن أكسر التعليمات بالخروج أعرض نفسي لخطر العدوى اللي عنده إمكانية مكان يقدر يستخدم أدوات وتمارين خفيفة واليوتيوب مليان تمارين راح تموت مشيت بالممشى يمكن تموت وتقتل أحبابك لأنك طلعت الحجرالمنزلي,2,3,3/21/2020 10:13,1,TRUE,FALSE,158859735
اللهم الأمر أمركوالخلق خلقكوالقضاء قضاؤكولا حول قوة اللهم تُطل إقفال مساجدنا وبرّد مصاب فقدان جمعها وجماعتهاوأقر أعيننا والمسلمين برفع البلاء يارب كريم صباحالخير الحجرالمنزلي,0,2,3/21/2020 10:12,0,FALSE,FALSE,997473631
الحجرالمنزلي صباح الورد,7,3,3/21/2020 10:09,2,FALSE,FALSE,4617036377
الحجرالمنزلي عزز العلاقات الأسرية كشف المتزوجين سراً كشف الشباب والفتيات المدخنين أهاليهم كثرواالجلوس النفاس وخدموها بطفلها صار للحلاقين أهميّه واصبحوا مثل الجزارين عيد الأضحى يجزرون البيوت,0,0,3/21/2020 10:09,0,FALSE,FALSE,1.24085E+18
دراسة رجل تشير فائدة الفستق الحلبي تحسين الانتصاب و تحسن مستوى الدهون الدم عيادة د امجد المسلماني استشاري جراحة المسالك البولية و تركيب الدعامات عيدالام فعالياتالحجرالصحي اعلانحربضدكورونا ابها الحجرالمنزلي,0,0,3/21/2020 10:08,0,FALSE,FALSE,89168377
لنخرج دائرة الكآبة والحديث كورونا شوي لأذكر موقفاً طريفاً بذالك أرسم البسمة وجوهكم بسبب الحجرالمنزلي والسوالف العائلية,0,0,3/21/2020 10:06,1,FALSE,FALSE,1.01447E+18
يجب ان نكاتف بعيد الحجرالمنزلي,0,0,3/21/2020 10:06,0,FALSE,FALSE,388762147
عقلية الوسط الفني حابة تقولين ايه أزمة كورونا ورأيك الحجرالمنزلي,0,1,3/21/2020 10:04,1,FALSE,FALSE,7.61449E+17
تستغل أخوانك الحجرالمنزلي لترتيب المكتبة معك,5,35,3/21/2020 10:04,7,FALSE,FALSE,791213245
الحجرالمنزليواجبوإلتزام الحجرالمنزلي تكفوناقعدوافيبيوتكم حظرتجولاجباريينقذنا البنوكتأجلالأقساط يومالامالعالمي اسقاطالقروضلليوم,0,0,3/21/2020 10:03,0,FALSE,FALSE,444663713
كارنوازن وعائلتها الحجرالمنزلي مارأيك اخبار مشاهير كورونا,0,0,3/21/2020 10:03,1,FALSE,FALSE,405534322
الحجرالمنزلي اللهم إني أعوذ البرص و الجنون و الجذام و سيء الأسقام,0,0,3/21/2020 10:03,0,FALSE,FALSE,1.04704E+18
بينما يلتزم أهلنا ولايةالسويق ب الحجرالمنزلي صباح اليوم الجميل تستعد فرق ميدانية الطواقم الطبية بدء العمل وزيارة الأشخاص الحجر المنزلي الولاية ابقوافيبيوتكم خليكفيالبيت,2,4,3/21/2020 10:00,3,FALSE,FALSE,2250257447
صباح الخير هالايام وانت تفطر البيت استغل فترة الصباح المميزه موهبتك التصوير الحجرالمنزلي,0,2,3/21/2020 10:00,0,FALSE,FALSE,585164682
