ID,name,screen_name
516661687,Asad Abdullah Abuhashim,AN05773800
1178661049530245127,أحمد بن عبدالعزيز البقعاوي ٠ 🧐,AlbaqawiA
361958080,محمد بن عيسى الكنعان,moh_alkanaan
1194327458859900928,الدرر والنفائس,darrwanfaes
418432496,Emad Rasheed AlRasheed,AlrasheedEmad
1241062933683191811,ساعدني احصل على الماجسير و احسن حياتي ..,0qMoblXxDdCwB7B
734693763516387328,﮼أحمد،بن،عبدالواحد,Ahmed_IDS
1098692935170883585,Dina ALGhamdi🇸🇦,Dinaa_85
337466523,Nasser Asiri,nasserkaushi
1227975605112754176,Hadeel,hdllhjr
375264000,د. غَيْداء جوُد *,Ghidajude
634082178,شيخ المليارات,shay5almilyarat
521382058,محمد بن مروان أورفه لي MOHAMAD OURFALI,mhdourfali
590218518,* م.عبدالرحمن *,Abdura7man_Y
1067752216671457280,MSS .,xxli_3
323084232,🧴MBS🇸🇦 س ـــارا,MbsSara
1096934342633443328,Abdulrahman Al S,sayigh_al
1196124415307780097,خيرُ أُمة 🌎,bestnation19
1079068030712324102,moly,moly96754923
1239589118839062536,khaled,revkhaled
1494633024,صحيفة المستهلك الاقتصادية,almoustahlek
2540111240,أ.هنا محمد,halyazide
2878588310,الملكــي👑+51,zxacq1
365728407,إبراهيم اليحيى,EbrahimAAlyahya
1220735009268600832,Dr Fouad Abdulaziz Abolaban,Fouad_Abolaban
1903326583,ماجد اليحيى,Majed_alyahya
291516210,Sultan 🇬🇧🇸🇦,sultanoq
2718253382,مشعل الحارثي,al_hatabe
332514852,‏﮼سامرالغامدي,sameryyy
316433902,3shag,ashag2011
165304466,بدر,badry23
478748148,محمد 🎓,moodb33
517743664,Abdullah,ssswww9991
733419830,عبدالعزيز الحجل,3ziz_f16
542910365,aseel,AsooleGore
395416689,ابراهيم الشيبان,ibrahimalshaban
216916419,محمد الطلحه,maltalha
425307370,﮼محمد،الدوسي,Maldosi
2490679947,الشاعر/محمدابوحكّام,abumatab505
328101568,بندر أبوداهش,BandarAbudahesh
293246957,Faisal Al Salem,AlsalemFaisal
401356081,Abduallah.A.,ASA508
718959049,المهندس أحمد القعود 🌐,AHMED_ALGAOUD
466713964,Ahmed Al-Dossary احمد الدوسري,dossaryahmed
376178169,M O H A M M E D,MOH_ALAHMADI
3858235876,حل واجبات,SEUEF
773921450336059392,Sami S. AL-Khulaidi,s_khulaidi
3277726304,#نبض_جدة || #مبادرون_مبادرات,Jeddah_Pulse
1110488122842931200,صالح,ahmad09888885
296904652,Omar S. Almarbai,OAlmarbai
1913985420,١٣ ين̷آير̷,nsr_2211
367970676,Abdulrahim,workbiotics
39776339,🇸🇦 أمل ناضرين,AmalNadhreen
821176755532734464,Fatima EĺKhadir,fatima_elkhadir
223925196,Hashim N. AlOmari,hashi1888
979674621862727680,fwaz ⚚🥀,fwazalfwazal
1044143874632032256,كوره لافه,koorah_laffah
535347021,Mohamed Hamed 🇪🇬,M_hamed80
196457845,أ. د. أحمد بن سالم باهمام,sleep_bahammam
745556672169414657,2es.wd♍️,2es_wd
967869649072377861,أحمد بن عيد الشمري 🇸🇦,ahmed3eed1
1225025293615878144,عبدالملك,malikabdul87
328601960,Entesar Albahli,ealbahli
3058258897,SO,1_SRA1
257519304,عبدالله البشير التميمي 🇸🇦,_ad20
340625797,مريم المعصوم أخصائية تغذية,mrmrmrmora2
509265393,دُنيا العصيمي📝,Orgo7ah
780922554013872129,نرجس تشولا ام سالي😸 ⌬ 👸🏻✈️💰💎🎤,m00m2016
739889252,عبدالرحمن الزهراني,D7mi_08
279030926,NFH,nfharshani
563775432,M,MMH1_
1065992959,الدكتور أحمد بكر,dr_ahmadbakr
460924478,صحيفة الساحات العربية,alsahatnews
2610477853,د. مجدل بن سفران,mejdl
709709474475466752,صافي البال,a3sim3li
1168060071340892160,IBRAHEEM M VAN(صديق أبوعيد),IbraheemVan
2750655355,أمل العتيبي,AmelOtb
2324204430,منال الخميسي🕊,manalalkhamisi
2894688456,Mohammad aljmely al harbi,M_Aljmely
287683301,صحيفة مكة,makkahnews1
3517991594,⚔️🇸🇦狼 ذيب (وطنجي عونسري),theiib
1156433689032765440,Lara Aljuhani,aljuhani_lara
469255927,سعيد قالط الناهسي,kalet5577
1157211419206701058,Mohammed aledrisi,Mohammedaledr10
579519528,حسنات,Hsanaat
1228361554778841088,القمر,NEt62mgJIQI5h4s
1237996948189257728,متعثر♥️🇸🇦,Motather11
933627135109091329,Ahmad Alshaeri🇸🇦ا,AlshaeriAhmad
3104019986,مهتم دوت كوم,mohtmcom
385359741,﮼صبحي،بن،معيوض،الحارثي,abubdralharthi
82874686,عبدالله القحطاني,aabq911
922130015680155649,ســاره |💙,Sarah_30__
1003037922935918593,المحترفون للبحث والإنقاذ,ptsrr999
1223056874,Ahmed ELtoukhey,Ahmed1ELtoukhey
314181291,محمد حريصي,moh_huraysi
290041878,ADNAN YOUSEF🇦🇪,3dnanyousef
931872210502815746,ريّان الرميح,q1F9_
4798804325,Noura-Intellect,Intellect_n_
1070598380265631744,كامي كوم Camycom,icamycom
1102091564296347648,Yousif Mohamed Ahmed,YousifM71270281
701001673314013184,أَشواقْ,Ash9m
709027134027796480,مهدي الحربي,jzgv3
360003060,Waleed Alhenaki,w_henaki
486118803,مخلد الغنيم,alqnem
407867263,NADA,nado_melhi
2515088941,Хилал 🎗️,HGHAM88
4647119301,طلال,Talalal011
813111788950745092,(رغد)🌷,3HU5Y
808719871,abeer alamr🌸legally blonde🌸,aboraalamer
225897247,ibrahim binhussein,i_binhussein
801884968771342336,محمد بن عودهـ,mohamedbelady
520765216,Dr.Afnan Alfouzanد. أفنان الفوزان,afnanfouzan
814221876,Ahmed Elhossary,Dr_hossary
729711744,J.K.T,jojoaltelmesani
1227192393151197184,toto,toto95007305
279864964,يحيى بالحارث Yahya Balharet,yahyabalhareth
2715892548,رنده الغامدي،،,gh_randa
1210093118,سُ🎓,It__suha
425649310,فهد اﻷحمري,FahadAlAhmary1
480497222,Budur Al-Obaydan ♡,Badorah14
701427182191693825,نوفُـ 🧐 ‏بّـنِتُ رجَ ـآلَ 🇸🇦♥️🇸🇦,_nof3
238346362,فهد,drehimm
3234679610,أنينُ اليَراع,Saidalani60
1151033817185976320,wamythailand,wamythailand
357809326,سعود بن عبدالعزيز بن غنيم,saud7784
1055328623253708800,الرايق,Riiig777
363447044,الحجاب الحازمي,alhejabsh
821697753541648384,محمد الصليحي,fanos234
982103474,Cap.abdo Fitness,abdonema1
2230438246,لا شيء ! ♏️,koofee333
148048342,العنودالشهري,Alanoudm
1098336381233967110,Uncle Abdellatif,Abdelatiflhamad
968805475,البركان 9,alborcan9
719534292,سلطان البهيشي اﻷحمري MBS#,SultanM24
302129301,فهد الدغيثر 🇸🇦,F_Deghaither
286532991,خالدعبدالوهاب خليل,Dr_K_KHALIL
2216430492,عبدالمحسن بن أحمد الزهراني,anrrla
900229922,د. أمل حسين العوامي,amel612
54950365,Ali Hajjar علي حجار ..MBS..,ahajjar
636691962,samar,ksamemo22
1048462160,طلال البقعاوي,tlalbaqa
716286556,Dr _AKRAM _ALYAMY,akram74702
2659259232,Ameerah Bokhari,ameerah_bokhari
449848789,أبو تُوبياس,IT_JU33
925428013,طارق سليمان المورعي,nrn5051
1183734026093449221,عَــنَــود 🇵🇰♥️,al7_nod
166029462,Dr.Turki Alhazmi,TurkiAlhazmi1
1330053534,فهد بن فريح العفنان,ffs654
1082464790088478721,غرام,ghazzzz12
499701022,Star💫,TheSoulSings_
360941931,مصعب العبيد,musaab573
2525923398,omer,Ommmer22
1309393771,الـزَعيـمْ الـعَالمِـيَّ,8m_9
3623042836,منوعات الاسد اللطيف,mounawat
2567129317,زيد #قادح 🇸🇦,ZAiD1886
1150627302,عبد المحسن,AbdelMohsssen
1500260760,صالح الخصيفي,Alkosifi69
1088838611955523594,mbs_sh,FaislShhad
287449793,Hope bin hethlain,lalo_kh
4612378529,تكاتفو ياسعوديين,a_ksa2030
1091843153156558848,د.موسى آل زعلة,drmousa20101
2200310575,ﷴ اڷڜـﮪڔانېْ,Bo7_i8
999813820423065600,د. نورة العتيبي,DrNorahAlotaibi
708167089,رايـدة العتـيبـي,Raidah_alotibi
751675842930106368,Sk-2020,ss_k2020
1139727552711397376,𝑨𝑰𝑺𝑯𝑨 ’☁︎𓅓♋︎,owla_57
1180591307548479488,fatin alqassem,AlqassemFatin
908835052456480769,May24oct,Mai24oct
1214234223780876288,khalid alshebani,khalida050
500071439,أبو فيصل,m7mmd_al3amri
756649406,آل مغيرة,Al_Mughirah
275847809,# سمر_المقرن,s_almogren
1226246230596112386,حياة,7eeit
713059798267387905,زانا للتسويق,zanamarketing
2648491950,Eng.Majed Abdullatif م.ماجد عبداللطيف,ms2uk
2341748968,سوسو,allowts55
476024275,محمد الشويعر,mohammadshoweir
1039420794454110208,AMANI .,mon8ph
460036581,azooz_smj 🇸🇦💛🐅,AOOZ2
2686307538,ᴰᴬᴺᴬ ᶠᴬᴴᴬᴰ ⋆ 🇸🇦,Dana_f_su
99017971,Aabed S. Saber,Aabedss
393892258,سعود,saud_saad0
917543754,مساعد بن عبدالرحمن ال غنّام,alawaleen
1040916184621899776,امجاد🧸🎈,amjad0_090
481397039,Abdullah alkandary,alkendary
439463251,عِلـيٌ بِن مٌهدِي🍁,al22li
291026057,~| خَالد,I5alid0
1016131939,..,11oo11r
1235266799505113088,عين الوطن,Medina_Eye
738129391,سامي صنقور,s_sangoor
1020177564,Rashed,y_20_Q
538051070,﮼ابوفهد🇸🇦 ﮼الجباري,Abdullah4you_
349924114,وفاء بن سعيد,Naqaaalqlb81
544709270,ابو عمر,ABOO3o0MR
990783574336004096,Bashayer,bashayer_I_o
1135012346,عبدالرحمن الصقري,Alsagri2000
2655958530,فهد بن عايض,Fahad_Almutairy
1523711167,Nasser alghamdi,EIKER_E
930702499,ENG RizgY Alfattani,rizgy724
809026289361420289,عبدالهادي الحميري,abdulhadi_n_m
982890192435601408,💫١✏️نـادر💫,riy_100
336241379,عـلاء رفيـق,alaa_rafeeq7
4209004996,Mohamed,mshehath8
1203815519545106442,Ahmdh ♡,Ahmdh33
891547764,mohammed,abuosam47524400
798580444430213120,أنس الثنيان,etrir1
525249530,Duaa Maimany 🇸🇦,doodi_duuuuuuu
247248673,Adil Alraddadi,adil999es
2433354721,ليّن,Emil07_
349593001,أ.صقران السويدي,sagran_alswedy
385074561,Dr.Norah Aloraifej,__NoorY__
339757173,🇸🇦الجوهره بنت عبدالله💎,AlJohrhAlOthman
1205926909214941184,ذات الخمار,AhadUmarr
284429090,جريدة عمولة الإعلانية,3MOLAA
130732673,د.نهار الرويلي,PoisonFighter
829089613180334080,سميرة العتيبي,farh_sss
913407753145774080,عذبة الروح,tzd8Ci3lr8xxaLM
1237090458,محمد العادي,alaadi289
541617420,هاشتاق الرياض,al_riyadh_30
403340279,البنــدري بنت سعد♚,AlbndaryA
2787870213,عابد العطوي,atwiaabed
1207320302943973376,rakan_al66,al66_rakan
501868268,عالية بنت عوض آل سلطان 🇸🇦,74Alia
3993116303,﮼حكاية,r3r_o
513740944,Faisal AlMana,AlmanaFaisal
556444871,MO ABddulah,moslah041
2818300935,دايلر الطيب,_Diefa1997
1160965017392549891,وليد حسن,ymJle8Tt78yEDd7
3001172924,Maha,AbaMaha2017
1008874548576563200,خالد النصر,khalled1410
769503584295784448,دورات معاهد ومراكز عسير,2mrakez
448740467,ⓦⓐⓛⓔⓔⓓ ⓜⓞⓗⓐⓜⓔⓓ,waleed6mohamed
341818708,تــركـي,turki_270
790163526,دلال دوت كوم,dalalmalmousa
470470130,نورة ظافر الشهري / مشرفة الإعلام والاتصال بالنماص,om_smsm
163249311,اسان بنت فهد البليهد,AsanBlaihed
1138840243057156097,ذكر الله..,theker12345
1189367489534353408,🅼🅴🆁🅲🆈,Remembe88410356
536933693,Lama A. Baloush,LamaBaloush
1553489551,عامر آل فايع,alfaya2010
4915492726,العماني 💗,ss11707
1162173311767502848,إلمالكي🎻🤎,nmesh10
1091434249,Nahlah Al-Helais,nana_naseer
523067940,"عماد السحيمي""vip""",F1500000015Vip
911464614,يوسف مباركي,mubaraki2501
711559705982795778,Dr. Haider Hejji,dr_haiderhejji
423319195,سليمان الذويخ,AlThowaikh
150589029,Yasmine Buraik,burayw0a
989464209695047686,رهـف,lnfsi_
283928678,محمد علي,Softnet1
804476518411997189,﮼حمده🌸,hamdh2017
1483596996,كاريزما,karizma1408
1622097967,﮼ريما،الشريف,ReemaSauod
43452831,Abdullah Al-Qadi,giantjudge
517863413,Moayad Abdulaziz,Moayad_Aziz
1182554877395918848,Nasser Alsultan ناصر ال سلطان,_NasserAlsultan
307660748,عابدة المؤيد العظم,AbidaAzem
388347504,عبدالهادي الرشيدي,abdulhadialr
734607669143703552,al🎼📖,azerwtom
1208987620765786112,Ahmed Alwakeel 💡,AlwakeelAM
386820683,عبدالرحمن الجهني,Rahmy2009
3155787722,﮼ابومهند،العمري,ahmed1974d
269705325,Turki,kooki778
429657478,م. مبارك النجار,mealnajjar
